,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,1,1,,,2,,2,2,,,,,explicit,,,,3,,3,3,,,,,no-overlapping,,,,,,precise,,,,,,representative,,,,4,,4,4,,,,,well-modularized,,,,5,,5,5,,,,,conflict-free,,,,,,combined,,,,,,contextual,,,,,,consistent,,,,,,directive,,,,6,,6,6,,,,,contextual,,,,,,no synonym,,,,,,directive,,,,,,complete,,,,7,,7,7,,,8,,8,8,,,,,explicit,,,,9,,9,9,,,,,no-overlapping,,,,,,combined,,,,,,consistent,,,,,,representative,,,,,,precise,,,,,,contextual,,,,,,atomic,,,,10,,10,10,,,11,,11,11,,,12,,12,12,,,13,,13,13,,,,,no synonym,,,,,,conflict-free,,well-modularized,,,,,
No.,ID_Treat,US4,,US4,,US4,US4,US5,,US5,,US5,US5,US6,,US6,US6,US6,US6,US7,,US7,,US7,US7,US8,,US8,US8,US8,US8,US9,,US9,US9,US9,US9,US10,,US10,US10,US10,US10,US11,,US11,,US11,US11,US12,,US12,US12,US12,US12,US13,,US13,,US13,US13,US14,,US14,US14,US14,US14,US15,,US15,US15,US15,US15,US16,,US16,US16,US16,US16,US17,,US17,US17,US17,US17,US18,,US18,US18,US18,US18,US19,,US19,,US19,US19,US20,,US20,US20,US20,US20,US21,,US21,US21,US21,US21,US1,,US2.1,US2.1,US2.1,US2.1,US2,,US2.2,US2.2,US2.2,US2.2,US2.3,,US2.3,,US2.3,US2.3,US2.4,,US2.4,,US2.4,US2.4,US2.5,,US2.5,US2.5,US2.5,US2.5,US2.6,,US2.6,,US2.6,US2.6,US2.7,,US2.7,US2.7,US2.7,US2.7,US2.8,,US2.8,US2.8,US2.8,US2.8,US2.9,,US2.9,US2.9,US2.9,US2.9,US2.10,,US2.10,US2.10,US2.10,US2.10,US2.12,,US2.12,US2.12,US2.12,US2.12,US2.13,,US2.13,US2.13,US2.13,US2.13,US2.15,,US2.15,US2.15,US2.15,US2.15,US2.16,,US2.16,,US2.16,US2.16,US2.17,,US2.17,,US2.17,US2.17,US2.18,,US2.18,,US2.18,US2.18,US2.19,,US2.19,,US2.19,US2.19,US2.20,,US2.20,US2.20,US2.20,US2.20,US2.21,,US2.21,US2.21,US2.21,US2.21,US2.22,,US2.22,US2.22,US2.22,
,,,,,,,,,,,,,,,,,,Post-hoc,,,,,,,,,,,,Post-hoc,,,,,precise,Post-hoc,,,,,,Post-hoc,,,,,,,,,,,,Post-hoc,,,,,,,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,,,,,,,,,,,,,Post-hoc,,,,,,,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,precise,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-hoc,,,,,,Post-hoc,,,,,,Post-hoc,
,,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_1,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC,Task 1,Task 2,Tot_SC_2,Task 3,Tot_SC_3,Tot_SC
1,0,1,1,1,0,1,2,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5
3,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,1,1,4,1,1,1,0,0,3,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
4,0,1,1,1,0,1,2,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5
5,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,1,1,4,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
